76, 142
73, 88
76, 48
76, 44
75, 296
72, 57
70, 140
73, 74
77, 89
72, 59
72, 67
74, 329
70, 242
73, 63
73, 60
72, 95
74, 100
74, 104
67, 215
67, 151
73, 69
73, 65
74, 188
71, 240
74, 289
74, 227
74, 105
70, 201
74, 119
68, 237
73, 235
69, 106
70, 227
74, 88
74, 85
74, 102
74, 69
76, 124
71, 93
70, 250
75, 140
73, 90
75, 91
72, 118
78, 205
72, 120
70, 115
73, 52
71, 58
72, 47
75, 97
73, 45
73, 67
71, 49
71, 119
72, 290
76, 229
75, 241
70, 217
75, 314
73, 242
73, 337
74, 326
73, 106
74, 105
68, 227
72, 226
75, 262
67, 125
74, 68
72, 223
75, 211
73, 96
70, 301
76, 74
73, 110
74, 80
70, 125
74, 121
73, 79
74, 99
73, 52
70, 280
76, 131
75, 174
71, 70
69, 246
76, 114
66, 265
76, 130
73, 52
75, 83
68, 254
71, 111
69, 109
74, 188
71, 164
72, 48
76, 173
74, 74
69, 121
74, 103
73, 65
73, 92
68, 230
79, 198
73, 101
73, 53
74, 94
73, 165
73, 224
73, 213
71, 201
72, 190
70, 291
76, 321
78, 199
70, 184
71, 76
77, 307
68, 129
75, 269
74, 200
69, 236
77, 134
77, 236
71, 102
74, 286
68, 217
72, 145
73, 83
74, 164
72, 51
74, 50
73, 79
71, 197
73, 238
73, 348
75, 59
74, 47
